time=2025-10-30T12:44:36.196Z level=INFO msg="Monaco version 2.26.1"
time=2025-10-30T12:44:36.196Z level=INFO msg="Loading manifest \"/home/terraform17/monaco-project/projects/manifest.yaml\". Restrictions: groups=[], environments=[]" manifestPath=/home/terraform17/monaco-project/projects/manifest.yaml
time=2025-10-30T12:44:36.230Z level=INFO msg="Projects to be deployed (1):"
time=2025-10-30T12:44:36.230Z level=INFO msg="  - project_my-dt-env"
time=2025-10-30T12:44:36.230Z level=INFO msg="Environments to deploy to (1):"
time=2025-10-30T12:44:36.230Z level=INFO msg="  - project_my-dt-env"
time=2025-10-30T12:44:36.230Z level=WARN msg="API 'alerting-profile' is deprecated. Please migrate to 'builtin:alerting.profile'."
time=2025-10-30T12:44:36.230Z level=WARN msg="API 'anomaly-detection-metrics' is deprecated. Please migrate to 'builtin:anomaly-detection.metric-events'."
time=2025-10-30T12:44:36.230Z level=WARN msg="API 'anomaly-detection-services' is deprecated. Please migrate to 'builtin:anomaly-detection.services'."
time=2025-10-30T12:44:36.230Z level=WARN msg="API 'auto-tag' is deprecated. Please migrate to 'builtin:tags.auto-tagging'."
time=2025-10-30T12:44:36.230Z level=WARN msg="API 'management-zone' is deprecated. Please migrate to 'builtin:management-zones'."
time=2025-10-30T12:44:36.230Z level=WARN msg="API 'notification' is deprecated. Please migrate to 'builtin:problem.notifications'."
time=2025-10-30T12:44:36.295Z level=INFO msg="Deploying configurations to environment \"project_my-dt-env\"..." environment.name=project_my-dt-env environment.group=default
time=2025-10-30T12:44:36.295Z level=INFO msg="Deploying 10 independent configuration sets in parallel..." environment.name=project_my-dt-env environment.group=default
time=2025-10-30T12:44:36.295Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:anomaly-detection-services:anomaly-detection-services coordinate.project=project_my-dt-env coordinate.type=anomaly-detection-services coordinate.configId=anomaly-detection-services gid=4
time=2025-10-30T12:44:36.295Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:alerting-profile:alert_pf_prodops coordinate.project=project_my-dt-env coordinate.type=alerting-profile coordinate.configId=alert_pf_prodops gid=9
time=2025-10-30T12:44:36.295Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:auto-tag:auto-tag-client coordinate.project=project_my-dt-env coordinate.type=auto-tag coordinate.configId=auto-tag-client gid=5
time=2025-10-30T12:44:36.295Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:auto-tag:auto-tag-team-name coordinate.project=project_my-dt-env coordinate.type=auto-tag coordinate.configId=auto-tag-team-name gid=0
time=2025-10-30T12:44:36.296Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:alerting-profile:alert_pf_devops coordinate.project=project_my-dt-env coordinate.type=alerting-profile coordinate.configId=alert_pf_devops gid=1
time=2025-10-30T12:44:36.296Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:auto-tag:auto-tag-product coordinate.project=project_my-dt-env coordinate.type=auto-tag coordinate.configId=auto-tag-product gid=6
time=2025-10-30T12:44:36.296Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:management-zone:mg_adhu coordinate.project=project_my-dt-env coordinate.type=management-zone coordinate.configId=mg_adhu gid=2
time=2025-10-30T12:44:36.296Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:anomaly-detection-metrics:4db6704e-e36d-35e5-a342-12701de64eb5 coordinate.project=project_my-dt-env coordinate.type=anomaly-detection-metrics coordinate.configId=4db6704e-e36d-35e5-a342-12701de64eb5 gid=3
time=2025-10-30T12:44:36.296Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:auto-tag:auto-tag-environment coordinate.project=project_my-dt-env coordinate.type=auto-tag coordinate.configId=auto-tag-environment gid=7
time=2025-10-30T12:44:36.296Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:management-zone:mg_sumanth coordinate.project=project_my-dt-env coordinate.type=management-zone coordinate.configId=mg_sumanth gid=8
