time=2025-10-30T11:44:58.003Z level=INFO msg="Monaco version 2.26.1"
time=2025-10-30T11:44:58.003Z level=INFO msg="Loading manifest \"/home/terraform17/monaco-project/projects/manifest.yaml\". Restrictions: groups=[], environments=[]" manifestPath=/home/terraform17/monaco-project/projects/manifest.yaml
time=2025-10-30T11:44:58.007Z level=INFO msg="Projects to be deployed (1):"
time=2025-10-30T11:44:58.007Z level=INFO msg="  - project_my-dt-env"
time=2025-10-30T11:44:58.007Z level=INFO msg="Environments to deploy to (1):"
time=2025-10-30T11:44:58.007Z level=INFO msg="  - project_my-dt-env"
time=2025-10-30T11:44:58.007Z level=WARN msg="API 'alerting-profile' is deprecated. Please migrate to 'builtin:alerting.profile'."
time=2025-10-30T11:44:58.007Z level=WARN msg="API 'anomaly-detection-metrics' is deprecated. Please migrate to 'builtin:anomaly-detection.metric-events'."
time=2025-10-30T11:44:58.007Z level=WARN msg="API 'anomaly-detection-services' is deprecated. Please migrate to 'builtin:anomaly-detection.services'."
time=2025-10-30T11:44:58.007Z level=WARN msg="API 'auto-tag' is deprecated. Please migrate to 'builtin:tags.auto-tagging'."
time=2025-10-30T11:44:58.007Z level=WARN msg="API 'management-zone' is deprecated. Please migrate to 'builtin:management-zones'."
time=2025-10-30T11:44:58.007Z level=WARN msg="API 'notification' is deprecated. Please migrate to 'builtin:problem.notifications'."
time=2025-10-30T11:44:58.008Z level=INFO msg="Deploying configurations to environment \"project_my-dt-env\"..." environment.name=project_my-dt-env environment.group=default
time=2025-10-30T11:44:58.008Z level=INFO msg="Deploying 14 independent configuration sets in parallel..." environment.name=project_my-dt-env environment.group=default
time=2025-10-30T11:44:58.008Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:auto-tag:auto-tag-product coordinate.project=project_my-dt-env coordinate.type=auto-tag coordinate.configId=auto-tag-product gid=13
time=2025-10-30T11:44:58.008Z level=INFO msg="Deployment successful" deploymentStatus=deployed environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:auto-tag:auto-tag-product coordinate.project=project_my-dt-env coordinate.type=auto-tag coordinate.configId=auto-tag-product gid=13
time=2025-10-30T11:44:58.009Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:management-zone:286058344346890585 coordinate.project=project_my-dt-env coordinate.type=management-zone coordinate.configId=286058344346890585 gid=6
time=2025-10-30T11:44:58.009Z level=INFO msg="Deployment successful" deploymentStatus=deployed environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:management-zone:286058344346890585 coordinate.project=project_my-dt-env coordinate.type=management-zone coordinate.configId=286058344346890585 gid=6
time=2025-10-30T11:44:58.009Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:auto-tag:auto-tag-client coordinate.project=project_my-dt-env coordinate.type=auto-tag coordinate.configId=auto-tag-client gid=7
time=2025-10-30T11:44:58.009Z level=INFO msg="Deployment successful" deploymentStatus=deployed environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:auto-tag:auto-tag-client coordinate.project=project_my-dt-env coordinate.type=auto-tag coordinate.configId=auto-tag-client gid=7
time=2025-10-30T11:44:58.009Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:synthetic-monitor:HTTP_CHECK-CE8C6BD165DDC51C coordinate.project=project_my-dt-env coordinate.type=synthetic-monitor coordinate.configId=HTTP_CHECK-CE8C6BD165DDC51C gid=6
time=2025-10-30T11:44:58.009Z level=INFO msg="Deployment successful" deploymentStatus=deployed environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:synthetic-monitor:HTTP_CHECK-CE8C6BD165DDC51C coordinate.project=project_my-dt-env coordinate.type=synthetic-monitor coordinate.configId=HTTP_CHECK-CE8C6BD165DDC51C gid=6
time=2025-10-30T11:44:58.009Z level=INFO msg="Deploying config" deploymentStatus=deploying environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:auto-tag:auto-tag-environment coordinate.project=project_my-dt-env coordinate.type=auto-tag coordinate.configId=auto-tag-environment gid=8
time=2025-10-30T11:44:58.009Z level=INFO msg="Deployment successful" deploymentStatus=deployed environment.name=project_my-dt-env environment.group=default coordinate.reference=project_my-dt-env:auto-tag:auto-tag-environment coordinate.project=project_my-dt-env coordinate.type=auto-tag coordinate.configId=auto-tag-environment gid=8
